name git-remote git-branch homepage author title description
Detour https://github.com/okraits/pekwm-theme-detour.git main https://github.com/okraits/pekwm-theme-detour Oliver_Kraitschy Detour_theme_for_pekwm Detour,_ported_from_the_E17_Detour_theme_by_Alberto_Castro_aka_Tokyo.
LightOne https://github.com/okraits/pekwm-theme-lightone.git main https://github.com/okraits/pekwm-theme-lightone Oliver_Kraitschy LightOne,_port_of_the_E16_theme_by_kvas LightOne,_ported_from_the_E16_LightOne_theme_by_kvas.
benu https://github.com/vicgeralds/benu.git master https://github.com/vicgeralds/benu Victor_Geraldsson BeOS_style_theme_for_pekwm 
ion-p https://github.com/pekdon/pekwm-theme-ion-p.git main https://github.com/pekdon/pekwm-theme-ion-p Claes_Nästén ION_styled_themes_for_pekwm 
lila https://github.com/pekdon/pekwm-theme-lila.git main https://github.com/pekdon/pekwm-theme-lila Claes_Nästén Original_theme,_previously_named_purple-p Original_theme_from_the_early_days_of_pekwm,_created_on_Solaris
m0nst4 https://github.com/okraits/pekwm-theme-m0nst4.git main https://github.com/okraits/pekwm-theme-m0nst4 Oliver_Kraitschy m0nst4,_Fluxbox_styled_theme_for_pekwm m0nst4,_ported_from_the_Fluxbox_m0nst4_theme_by_Christoph_Strake_aka_chr1z.
mavon-t https://github.com/okraits/pekwm-theme-mavon-t.git main https://github.com/okraits/pekwm-theme-mavon-t Oliver_Kraitschy mavon-t,_port_of_a_theme_for_mavosxwm mavon-t,_originally_ported_from_mavosxwm_to_pekwm_by_chr1z.
pwm-p https://github.com/pekdon/pekwm-theme-pwm-p.git main https://github.com/pekdon/pekwm-theme-pwm-p Claes_Nästén PWM_styled_themes_for_pekwm 
spiff-p https://github.com/pekdon/pekwm-theme-spiff-p.git master https://github.com/pekdon/pekwm-theme-spiff-p Claes_Nästén spiff-p,_port_of_E16_spiff_theme_by_Garrett_LeSage Early_pekwm_theme_that_has_been_updated_multiple_times_over_the_years_by_amongst_others_okraits.
